,zone,room,bathroom,floor,t_floors,area,area_unit,area_type,furnishing,facing,power_backup,available_from,contact,rent
3387,Central Delhi,3,2,,,850.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 30,390"
3388,South Delhi,2,2,,,674.0,Sq.Ft.,Built-up Area,Unfurnished,East,,Immediately,Contact Agent,"₹ 28,000"
3389,East Delhi,1,1,,,450.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,No Back-up,Immediately,Contact Agent,"₹ 24,000"
3390,North Delhi,1,1,7,,489.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 18,450"
3391,East Delhi,3,3,first floor,4,950.0,Sq.Ft.,Built-up Area,Unfurnished,East,No Back-up,Immediately,Contact Agent,"₹ 33,000"
3392,South Delhi,3,3,,,2000.0,Sq.Ft.,Built-up Area,Semi-Furnished,,Available,Immediately,Contact Agent,"₹ 60,560"
3393,East Delhi,1 Rk,,,,350.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 8,900"
3394,East Delhi,1,,,,996.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 17,000"
3395,West Delhi,3.5,3,002,004,1450.0,Sq.Ft.,Built-up Area,Semi-Furnished,North,Available,Immediately,Contact Agent,"₹ 45,100"
3396,West Delhi,2,2,002,004,900.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,Available,Immediately,Contact Agent,"₹ 21,500"
3397,West Delhi,2.5,1,003,004,900.0,Sq.Ft.,Built-up Area,Furnished,North West,Available,Immediately,Contact Agent,"₹ 25,000"
3398,West Delhi,2.5,3,002,004,1000.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,Available,Immediately,Contact Agent,"₹ 25,100"
3399,West Delhi,2.5,2,003,004,1000.0,Sq.Ft.,Built-up Area,Furnished,North,Available,Immediately,Contact Agent,"₹ 32,000"
3400,West Delhi,2.5,2,001,004,1000.0,Sq.Ft.,Built-up Area,Semi-Furnished,West,Available,Immediately,Contact Agent,"₹ 25,500"
3401,West Delhi,3.5,3,004,004,1450.0,Sq.Ft.,Built-up Area,Semi-Furnished,North West,Available,Immediately,Contact Agent,"₹ 42,000"
3402,West Delhi,2.5,2,003,004,1000.0,Sq.Ft.,Built-up Area,Furnished,North West,Available,Immediately,Contact Agent,"₹ 28,000"
3403,West Delhi,3.5,3,002,004,1500.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,Available,Immediately,Contact Agent,"₹ 35,200"
3404,West Delhi,2.5,2,002,004,1000.0,Sq.Ft.,Built-up Area,Furnished,East,Available,Immediately,Contact Agent,"₹ 35,000"
3405,West Delhi,3,2,002,004,1000.0,Sq.Ft.,Built-up Area,Semi-Furnished,West,Available,Immediately,Contact Agent,"₹ 32,200"
3406,West Delhi,2.5,2,002,004,1000.0,Sq.Ft.,Built-up Area,Furnished,West,Available,,Contact Agent,"₹ 25,000"
3407,West Delhi,2,2,001,004,950.0,Sq.Ft.,Built-up Area,Furnished,West,Available,Immediately,Contact Agent,"₹ 23,500"
3408,East Delhi,3,2,,,1100.0,Sq.Ft.,Built-up Area,Unfurnished,East,No Back-up,,Contact Agent,"₹ 25,800"
3409,South Delhi,2,2,1,2,1000.0,Sq.Ft.,Built-up Area,Furnished,East,No Back-up,Immediately,Contact Agent,"₹ 28,000"
3410,West Delhi,2,2,first,3,950.0,Sq.Ft.,Built-up Area,Unfurnished,East,,Immediately,Contact Agent,"₹ 27,000"
3411,South Delhi,3,2,6,,1200.0,Sq.Ft.,Built-up Area,Semi-Furnished,North,Available,Immediately,Contact Agent,"₹ 44,780"
3412,South Delhi,1,2,5,,1000.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,Price on Request
3413,East Delhi,2,1,,,470.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 15,690"
3414,Dwarka,3.5,3,3,7,1850.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,Available,Immediately,Contact Agent,"₹ 48,500"
3415,West Delhi,2,2,First Floor,3,1000.0,Sq.Ft.,Built-up Area,Unfurnished,West,Available,Immediately,Contact Agent,"₹ 30,000"
3416,East Delhi,2,1,,,696.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 18,700"
3417,South Delhi,2,2,,,752.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,Price on Request
3418,South Delhi,2,2,2,4,1000.0,Sq.Ft.,Saleable Area,Furnished,North East,Available,Immediately,Contact Agent,"₹ 25,000"
3419,South Delhi,2,2,,,656.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 25,400"
3420,South Delhi,2,2,,,669.0,Sq.Ft.,Built-up Area,Furnished,East,,Immediately,Contact Agent,"₹ 41,000"
3421,South Delhi,2,2,2,4,900.0,Sq.Ft.,Built-up Area,Furnished,East,Available,Immediately,Contact Agent,"₹ 30,000"
3422,South Delhi,2,2,1,3,1000.0,Sq.Ft.,Built-up Area,Furnished,East,No Back-up,Later,Contact Agent,"₹ 55,000"
3423,South Delhi,2,,,,100.0,Sq.Yd.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 35,000"
3424,South Delhi,2,2,8,10,800.0,Sq.Ft.,Built-up Area,Furnished,East,,Immediately,Contact Agent,"₹ 30,000"
3425,South Delhi,2,2,,,579.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 25,000"
3426,South Delhi,1.5,2,4,1,580.0,Sq.Ft.,Built-up Area,Furnished,East,Available,Immediately,Contact Agent,"₹ 18,500"
3427,West Delhi,2,1,,,100.0,Sq.Yd.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 16,000"
3428,South Delhi,2,2,,,1254.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 46,500"
3429,East Delhi,2,1,,,620.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 20,500"
3430,East Delhi,2,2,3,3,750.0,Sq.Ft.,Built-up Area,Furnished,East,Available,Immediately,Contact Agent,"₹ 16,500"
3431,South Delhi,2,2,,,935.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 29,600"
3432,South Delhi,2,2,,,958.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 44,900"
3433,South Delhi,1,1,1,3,600.0,Sq.Ft.,Built-up Area,Semi-Furnished,,No Back-up,Immediately,Contact Agent,"₹ 15,000"
3434,South Delhi,1,1,2,,650.0,Sq.Ft.,Built-up Area,Furnished,North East,No Back-up,Immediately,Contact Agent,"₹ 17,000"
3435,North Delhi,2,2,3,3,1000.0,Sq.Ft.,Built-up Area,Unfurnished,West,No Back-up,Immediately,Contact Agent,"₹ 30,000"
3436,South Delhi,1,1,2,6,540.0,Sq.Ft.,Built-up Area,Furnished,North West,No Back-up,Immediately,Contact Agent,"₹ 16,400"
3437,North Delhi,2,2,2,3,900.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,No Back-up,Immediately,Contact Agent,"₹ 22,000"
3438,North Delhi,2,2,1,3,900.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,No Back-up,Immediately,Contact Agent,"₹ 25,000"
3439,North Delhi,2,,,,945.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,,Contact Agent,"₹ 16,000"
3440,Dwarka,3,3,4,8,1600.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,Available,Immediately,Contact Agent,"₹ 46,000"
3441,,3,3,5,7,1550.0,Sq.Ft.,Built-up Area,Semi-Furnished,West,Available,Immediately,Contact Agent,"₹ 40,000"
3442,Dwarka,3,3,5,9,1650.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,Available,Immediately,Contact Agent,"₹ 45,000"
3443,South Delhi,1,1,2,4,450.0,Sq.Ft.,Built-up Area,Semi-Furnished,West,No Back-up,Immediately,Contact Agent,"₹ 10,000"
3444,South Delhi,2,2,,,776.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 32,600"
3445,West Delhi,1 Rk,1,5,,25.0,Sq.Yd.,Built-up Area,Furnished,,,Immediately,Contact Agent,Price on Request
3446,Dwarka,4,4,1st,3,1650.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,No Back-up,Immediately,Contact Agent,Price on Request
3447,North Delhi,2,1,4,4,450.0,Sq.Ft.,Built-up Area,Semi-Furnished,South,No Back-up,Immediately,Contact Agent,"₹ 10,000"
3448,South Delhi,2,1,1,3,800.0,Sq.Ft.,Built-up Area,Furnished,East,No Back-up,Immediately,Contact Agent,"₹ 35,000"
3449,East Delhi,2,,,,638.0,Sq.Ft.,Built-up Area,Unfurnished,,,Immediately,Contact Agent,"₹ 15,000"
3450,East Delhi,2,1,,,632.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 21,200"
3451,East Delhi,2,1,,,1196.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 22,800"
3452,East Delhi,1,,,,400.0,Sq.Ft.,Built-up Area,Unfurnished,,,Immediately,Contact Agent,"₹ 18,000"
3453,East Delhi,2,,,,913.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 19,700"
3454,East Delhi,1,,,,446.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 15,900"
3455,East Delhi,2,,,,883.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 15,500"
3456,East Delhi,2,,,,414.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 19,000"
3457,East Delhi,2,,,,600.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,Price on Request
3458,East Delhi,2,,,,819.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 22,700"
3459,East Delhi,2,,,,569.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 18,900"
3460,East Delhi,2,,,,800.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 22,800"
3461,East Delhi,2,,,,725.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 16,900"
3462,East Delhi,2,,,,470.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,Price on Request
3463,,1 Rk,,,,550.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 19,600"
3464,East Delhi,2,,,,911.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 19,600"
3465,East Delhi,2,,,,600.0,Sq.Ft.,Built-up Area,Unfurnished,,,Immediately,Contact Agent,"₹ 17,900"
3466,East Delhi,2,,,,600.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,Price on Request
3467,East Delhi,1,,,,400.0,Sq.Ft.,Built-up Area,Unfurnished,,,Immediately,Contact Agent,Price on Request
3468,East Delhi,2,,,,584.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 18,400"
3469,East Delhi,2,,,,880.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,Price on Request
3470,East Delhi,1,,,,433.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 18,500"
3471,East Delhi,1,,,,770.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 15,600"
3472,East Delhi,1,,,,516.0,Sq.Ft.,Built-up Area,Unfurnished,,,Immediately,Contact Agent,"₹ 18,200"
3473,East Delhi,2,,,,600.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,Price on Request
3474,South Delhi,1,1,1,4,750.0,Sq.Ft.,Built-up Area,Furnished,East,No Back-up,Immediately,Contact Agent,"₹ 25,000"
3475,South Delhi,3,2,6,,1200.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 40,000"
3476,South Delhi,1,2,5,,1000.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,Price on Request
3477,East Delhi,2,,,,800.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 22,250"
3478,West Delhi,1,2,,,637.0,Sq.Ft.,Built-up Area,Unfurnished,,No Back-up,Immediately,Contact Agent,"₹ 13,000"
3479,West Delhi,1,2,,,651.0,Sq.Ft.,Built-up Area,Unfurnished,,No Back-up,Immediately,Contact Agent,"₹ 13,000"
3480,East Delhi,2,,,,500.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 17,500"
3481,East Delhi,2,,,,505.0,Sq.Ft.,Built-up Area,Unfurnished,,,Immediately,Contact Agent,"₹ 15,000"
3482,East Delhi,2,,,,521.0,Sq.Ft.,Built-up Area,Unfurnished,,,Immediately,Contact Agent,"₹ 15,000"
3483,East Delhi,2,1,,,600.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 17,990"
3484,East Delhi,1,,,,400.0,Sq.Ft.,Built-up Area,Unfurnished,,,Immediately,Contact Agent,"₹ 17,100"
3485,East Delhi,1,,,,400.0,Sq.Ft.,Built-up Area,Unfurnished,,,Immediately,Contact Agent,Price on Request
3486,East Delhi,2,1,,,649.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 18,400"
3487,East Delhi,2,1,,,720.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 19,000"
3488,East Delhi,2,,,,800.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 23,700"
3489,East Delhi,2,,,,740.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 24,200"
3490,East Delhi,1,,,,436.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 16,700"
3491,East Delhi,2,,,,702.0,Sq.Ft.,Built-up Area,Unfurnished,,,Immediately,Contact Agent,"₹ 16,000"
3492,East Delhi,1,,,,400.0,Sq.Ft.,Built-up Area,Unfurnished,,,Immediately,Contact Agent,"₹ 17,700"
3493,East Delhi,2,,,,740.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 23,900"
3494,East Delhi,2,,,,770.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 15,900"
3495,East Delhi,2,1,,,629.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 18,200"
3496,East Delhi,1,,,,438.0,Sq.Ft.,Built-up Area,Unfurnished,,,Immediately,Contact Agent,"₹ 16,600"
3497,West Delhi,1,2,,,625.0,Sq.Ft.,Built-up Area,Unfurnished,,No Back-up,Immediately,Contact Agent,"₹ 13,000"
3498,East Delhi,2,,,,636.0,Sq.Ft.,Built-up Area,Unfurnished,,,Immediately,Contact Agent,"₹ 15,000"
3499,East Delhi,1,1,,,456.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 15,450"
3500,East Delhi,2,,,,628.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,Price on Request
3501,East Delhi,2,,,,466.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 18,500"
3502,East Delhi,2,,,,740.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 26,800"
3503,East Delhi,1,1,,,478.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 17,400"
3504,East Delhi,1,,,,445.0,Sq.Ft.,Built-up Area,Unfurnished,,,Immediately,Contact Agent,"₹ 17,300"
3505,East Delhi,2,,,,880.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 17,400"
3506,East Delhi,1,1,,,438.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,Price on Request
3507,East Delhi,1,1,,,468.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 15,850"
3508,East Delhi,1,,,,438.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 16,500"
3509,East Delhi,1,,,,447.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 17,400"
3510,East Delhi,1,,,,450.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 15,400"
3511,East Delhi,1,,,,400.0,Sq.Ft.,Built-up Area,Unfurnished,,,Immediately,Contact Agent,"₹ 18,400"
3512,East Delhi,1,,,,411.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 20,000"
3513,East Delhi,1,,,,742.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 10,000"
3514,East Delhi,1,,,,525.0,Sq.Ft.,Built-up Area,Unfurnished,,,Immediately,Contact Agent,"₹ 10,000"
3515,East Delhi,1,,,,530.0,Sq.Ft.,Built-up Area,Unfurnished,,,Immediately,Contact Agent,"₹ 10,000"
3516,East Delhi,2,1,,,629.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 20,900"
3517,East Delhi,2,1,,,415.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 16,250"
3518,,1.5,,,,655.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 18,000"
3519,East Delhi,1,,,,420.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 23,000"
3520,East Delhi,2,1,,,425.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 16,360"
3521,East Delhi,2,,,,740.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 28,700"
3522,East Delhi,2,,,,740.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 28,900"
3523,East Delhi,1,,,,515.0,Sq.Ft.,Built-up Area,Unfurnished,,,Immediately,Contact Agent,"₹ 10,000"
3524,East Delhi,1,,,,522.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 10,000"
3525,East Delhi,1,,,,465.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 10,000"
3526,East Delhi,3,2,,,1200.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,Price on Request
3527,East Delhi,1,,,,430.0,Sq.Ft.,Built-up Area,Unfurnished,,,Immediately,Contact Agent,Price on Request
3528,East Delhi,1,,,,400.0,Sq.Ft.,Built-up Area,Unfurnished,,,Immediately,Contact Agent,Price on Request
3529,East Delhi,1,1,,,490.0,Sq.Ft.,Built-up Area,Furnished,East,,Immediately,Contact Agent,"₹ 15,350"
3530,Dwarka,2,,,,700.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 22,300"
3531,West Delhi,1,2,,,769.0,Sq.Ft.,Built-up Area,Unfurnished,,No Back-up,Immediately,Contact Agent,"₹ 13,000"
3532,East Delhi,2,2,,,110.0,Sq.Yd.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 25,000"
3533,East Delhi,3,3,,,1635.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 55,600"
3534,East Delhi,3,,,,190.0,Sq.Yd.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 50,400"
3535,East Delhi,1,,,,600.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 13,600"
3536,East Delhi,2,1,,,900.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 22,000"
3537,East Delhi,2,,,,600.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,Price on Request
3538,East Delhi,2,,,,700.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 18,700"
3539,East Delhi,3,1,,,1356.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,Price on Request
3540,East Delhi,3,1,,,1715.0,Sq.Ft.,Built-up Area,Unfurnished,,,Immediately,Contact Agent,Price on Request
3541,East Delhi,1,,,,450.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 16,700"
3542,East Delhi,2,,,,400.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 25,200"
3543,East Delhi,2,,,,962.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 18,300"
3544,East Delhi,1,,,,406.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 16,000"
3545,West Delhi,1,2,,,696.0,Sq.Ft.,Built-up Area,Unfurnished,,No Back-up,Immediately,Contact Agent,"₹ 13,000"
3546,East Delhi,2,,,,890.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 15,900"
3547,East Delhi,2,,,,734.0,Sq.Ft.,Built-up Area,Unfurnished,,,Immediately,Contact Agent,"₹ 18,300"
3548,East Delhi,1,,,,400.0,Sq.Ft.,Built-up Area,Unfurnished,,,Immediately,Contact Agent,"₹ 16,400"
3549,East Delhi,2,,,,600.0,Sq.Ft.,Built-up Area,Unfurnished,,,Immediately,Contact Agent,"₹ 17,100"
3550,East Delhi,2,,,,770.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,Price on Request
3551,,1.5,,,,710.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 17,000"
3552,East Delhi,2,,,,880.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,Price on Request
3553,East Delhi,1,,,,450.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 16,500"
3554,East Delhi,2,,,,500.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 18,600"
3555,East Delhi,2,,,,967.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 18,800"
3556,East Delhi,2,,,,600.0,Sq.Ft.,Built-up Area,Unfurnished,,,Immediately,Contact Agent,"₹ 16,500"
3557,East Delhi,2,1,,,745.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 19,300"
3558,East Delhi,3,2,,,1200.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,Price on Request
3559,,1.5,,,,700.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 16,800"
3560,South Delhi,2,2,First Floor,8rd Floor,1100.0,Sq.Ft.,Built-up Area,Unfurnished,East,Available,Immediately,Contact Agent,"₹ 42,000"
3561,,2.5,2,4,8,1400.0,Sq.Ft.,Built-up Area,Furnished,North East,Available,Immediately,Contact Agent,"₹ 40,000"
3562,Dwarka,3,2,8,10,1800.0,Sq.Ft.,Built-up Area,Unfurnished,North West,Available,Immediately,Contact Agent,"₹ 45,000"
3563,South Delhi,3,3,G,,160.0,Sq.Yd.,Built-up Area,Furnished,,,Immediately,Contact Agent,₹ 2.80 L
3564,Central Delhi,4,3,2,,2000.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,Price on Request
3565,West Delhi,3,3,14,24,1756.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 62,000"
3566,East Delhi,3,2,2,4,1250.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,Available,Immediately,Contact Agent,"₹ 35,000"
3567,Dwarka,3.5,3,1,4,1900.0,Sq.Ft.,Built-up Area,Semi-Furnished,South East,Available,Immediately,Contact Agent,"₹ 45,000"
3568,East Delhi,2,,,,800.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 22,250"
3569,West Delhi,1,2,,,637.0,Sq.Ft.,Built-up Area,Unfurnished,,No Back-up,Immediately,Contact Agent,"₹ 13,000"
3570,East Delhi,3,1,,,1825.0,Sq.Ft.,Built-up Area,Unfurnished,,,Immediately,Contact Agent,Price on Request
3571,East Delhi,1,1,,,536.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 16,930"
3572,East Delhi,2,1,,,566.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 17,500"
3573,East Delhi,1,,,,527.0,Sq.Ft.,Built-up Area,Unfurnished,,,Immediately,Contact Agent,"₹ 10,000"
3574,East Delhi,2,1,,,900.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 20,880"
3575,East Delhi,2,,,,816.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 22,500"
3576,East Delhi,2,,,,560.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,Price on Request
3577,East Delhi,2,,,,770.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 17,400"
3578,West Delhi,1,2,,,665.0,Sq.Ft.,Built-up Area,Unfurnished,,No Back-up,Immediately,Contact Agent,"₹ 13,000"
3579,East Delhi,2,,,,600.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,Price on Request
3580,East Delhi,1,,,,450.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 17,400"
3581,East Delhi,1,,,,451.0,Sq.Ft.,Built-up Area,Unfurnished,,,Immediately,Contact Agent,Price on Request
3582,East Delhi,1,,,,490.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 12,300"
3583,East Delhi,2,1,,,663.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 23,900"
3584,West Delhi,1,2,,,639.0,Sq.Ft.,Built-up Area,Unfurnished,,No Back-up,Immediately,Contact Agent,"₹ 13,000"
3585,East Delhi,2,,,,740.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 25,900"
3586,East Delhi,2,,,,455.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 18,100"
3587,East Delhi,3,1,,,1678.0,Sq.Ft.,Built-up Area,Unfurnished,,,Immediately,Contact Agent,Price on Request
3588,East Delhi,2,1,,,1156.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 19,350"
3589,West Delhi,1,2,,,651.0,Sq.Ft.,Built-up Area,Unfurnished,,No Back-up,Immediately,Contact Agent,"₹ 13,000"
3590,East Delhi,2,,,,500.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 17,500"
3591,East Delhi,2,,,,505.0,Sq.Ft.,Built-up Area,Unfurnished,,,Immediately,Contact Agent,"₹ 15,000"
3592,East Delhi,2,,,,521.0,Sq.Ft.,Built-up Area,Unfurnished,,,Immediately,Contact Agent,"₹ 15,000"
3593,East Delhi,2,1,,,600.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 17,990"
